ad_spend,sales
19352.0,54428.0
47585.0,131320.0
36868.0,111580.0
30334.0,92562.0
8645.0,39578.0
8644.0,29054.0
3846.0,14667.0
43443.0,117979.0
30455.0,86416.0
35696.0,104711.0
2009.0,6560.0
48526.0,138963.0
41790.0,113685.0
11405.0,36378.0
9909.0,29712.0
9987.0,26693.0
15908.0,53886.0
26713.0,77149.0
22165.0,58963.0
15270.0,41700.0
30981.0,85774.0
7835.0,37933.0
15315.0,46990.0
18952.0,49864.0
23347.0,67139.0
39474.0,107321.0
10784.0,23476.0
26197.0,75221.0
30028.0,83915.0
3276.0,21671.0
30770.0,96170.0
9356.0,39023.0
4188.0,19126.0
47495.0,123205.0
48316.0,143657.0
40611.0,111824.0
15926.0,49885.0
5786.0,24344.0
34527.0,97308.0
22567.0,65696.0
6980.0,24582.0
25264.0,70426.0
2685.0,16549.0
45557.0,121175.0
13680.0,40636.0
33464.0,94192.0
16274.0,49410.0
26483.0,83727.0
27789.0,66218.0
10058.0,40603.0
48510.0,137505.0
38982.0,97088.0
47035.0,125874.0
44847.0,120260.0
30297.0,78705.0
46172.0,121541.0
5336.0,17787.0
10603.0,45269.0
3216.0,22718.0
16941.0,58710.0
20045.0,63721.0
14296.0,40095.0
41608.0,111397.0
18481.0,58649.0
14766.0,40804.0
27592.0,82545.0
7905.0,28561.0
40308.0,108896.0
4653.0,25187.0
49357.0,135614.0
38840.0,105295.0
10737.0,42639.0
1271.0,7772.0
40958.0,115475.0
35636.0,102056.0
36721.0,100255.0
38792.0,108611.0
4628.0,15314.0
18565.0,61033.0
6678.0,25770.0
43292.0,115616.0
31542.0,94100.0
17214.0,49513.0
4114.0,13243.0
16238.0,42812.0
16934.0,55365.0
36751.0,95475.0
32240.0,99374.0
44473.0,110773.0
24139.0,78830.0
6860.0,28205.0
35949.0,99389.0
38278.0,102970.0
28503.0,83253.0
38777.0,106754.0
25196.0,78507.0
26614.0,77106.0
21950.0,65627.0
2246.0,13797.0
6287.0,25433.0
2540.0,17889.0
32184.0,81909.0
16403.0,44267.0
25920.0,78516.0
45471.0,124532.0
13215.0,42118.0
21109.0,62865.0
38022.0,106793.0
12211.0,37829.0
4772.0,18038.0
15198.0,48974.0
8900.0,27358.0
46555.0,128429.0
40598.0,102982.0
32037.0,95238.0
43702.0,121618.0
40380.0,112230.0
10142.0,40268.0
44735.0,130165.0
27428.0,83642.0
40565.0,102208.0
44908.0,115872.0
16582.0,48331.0
6393.0,26113.0
12169.0,43011.0
21928.0,61191.0
41083.0,113641.0
43176.0,114163.0
1341.0,10295.0
26027.0,68034.0
21453.0,59016.0
11883.0,32949.0
6873.0,22303.0
17543.0,59126.0
47203.0,123261.0
16837.0,65254.0
26421.0,78519.0
35448.0,99544.0
18818.0,52753.0
48617.0,135044.0
48160.0,127522.0
13337.0,43953.0
25365.0,86213.0
15743.0,48877.0
14957.0,53139.0
2807.0,13502.0
30869.0,86998.0
25631.0,82932.0
3522.0,15670.0
14654.0,55697.0
45505.0,127301.0
12739.0,39035.0
8100.0,33412.0
24983.0,77320.0
49297.0,136352.0
12861.0,34301.0
33935.0,91202.0
38319.0,104560.0
12644.0,41238.0
36683.0,104811.0
19021.0,58441.0
31983.0,83281.0
32043.0,92008.0
27253.0,81185.0
5424.0,26359.0
41930.0,120229.0
16718.0,55965.0
10139.0,37643.0
2998.0,17144.0
29954.0,76580.0
34201.0,97651.0
1813.0,15571.0
26093.0,76590.0
12098.0,33861.0
32613.0,86127.0
9544.0,39126.0
34856.0,96942.0
19950.0,63283.0
46900.0,127392.0
7739.0,29496.0
17712.0,58971.0
6560.0,23820.0
46310.0,126256.0
43990.0,117664.0
13639.0,41925.0
33339.0,91802.0
41044.0,113721.0
28205.0,78119.0
26953.0,83661.0
12851.0,37654.0
5562.0,22971.0
44964.0,120211.0
45120.0,130035.0
32022.0,91038.0
17612.0,59189.0
